	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
165	2015-09-28	25.26	107.355291345	86.67	23.0706597816	496.07	42.3947549724
166	2015-09-25	25.29	110.682458819	89.21	23.3875100447	504.06	43.0117264585
167	2015-09-24	26.6	112.926820311	92.77	23.2092817717	524.25	43.0313128549
168	2015-09-23	26.79	113.202443652	94.41	22.77361266	533.75	42.9627604676
169	2015-09-22	26.83	112.53307268	93.97	22.664695382	536.07	43.0019332603
170	2015-09-21	27.38	111.658952942	92.957	23.2983959082	538.4	43.1977972242
171	2015-09-18	27.96	113.409161157	95.55	23.0607582109	548.39	42.5808257381
172	2015-09-17	27.41	111.676671585	94.4	23.0805613523	540.26	43.3349019989
173	2015-09-16	27.75	112.13932505	94.34	22.8726283672	538.87	43.3838679898
174	2015-09-15	27.17	114.531341903	93.45	22.7142032356	527.24	43.0704856477
175	2015-09-14	26.9	114.462436068	92.9	22.4666639676	522.37	42.1597182158
176	2015-09-11	27.39	113.497754374	92.31	22.4270576847	521.38	42.5808257381
177	2015-09-10	27.71	112.424792082	92.05	22.3577466896	529.44	42.3947549724
178	2015-09-09	27.18	110.810426799	91.98	22.0111917144	522.24	42.1793046122
179	2015-09-08	27.18	108.428253637	90.44	22.4567623969	516.89	42.9823468639
180	2015-09-04	28.15	110.456053932	89.515	21.5359163197	517.54	41.7288174954
181	2015-09-03	28.3	107.562008851	88.26	22.0507979973	499.0	42.6004121345
182	2015-09-02	27.82	108.644814833	88.15	21.9913885729	504.72	42.4633073598
183	2015-09-01	27.03	110.584021911	89.89	21.347786476	510.55	40.9551548382
184	2015-08-31	27.79	106.272485362	87.23	22.2587309824	496.54	42.6199985308
185	2015-08-28	26.83	110.997456923	89.43	22.5062702505	512.89	43.036209454
186	2015-08-27	26.46	111.509328842	91.01	22.4072545433	518.01	42.9921400621
187	2015-08-26	25.03	111.080143925	89.73	21.5953257441	518.37	41.8463358737
188	2015-08-25	24.38	107.911459872	87.19	20.2982199795	501.19	40.2841248981
189	2015-08-24	25.005	104.22007584	84.1148	20.6002178865	474.0	41.1118460093
190	2015-08-21	25.87	102.003276683	82.48	21.3081801931	465.78	42.4633073598
191	2015-08-20	26.0	104.559683171	86.26	21.9319791486	496.38	44.8038817276
192	2015-08-19	27.61	110.889176325	90.56	22.7637110892	515.78	45.6460967721
193	2015-08-18	28.3	113.212287342	95.34	22.8528252257	532.92	46.2924478528
194	2015-08-17	29.06	114.678997264	95.17	23.0628460124	535.02	46.0394836569
195	2015-08-14	29.06	115.328680854	93.93	23.2107479749	535.22	45.728143108
196	2015-08-13	28.54	114.186812727	94.42	23.1910277132	531.52	45.46544952
197	2015-08-12	29.39	113.350099013	93.43	23.3882303298	529.66	45.4751789121
198	2015-08-11	29.62	113.43869223	94.19	23.3339996103	525.91	45.1541089712
199	2015-08-10	29.5	111.775010056	93.62	23.4473911148	527.46	46.049213049
200	2015-08-07	27.04	117.819233051	94.15	22.6585806484	524.0	45.4751789121
201	2015-08-06	27.54	113.714315571	94.302	20.1639675483	522.62	45.3584262063
202	2015-08-05	28.48	113.369786394	95.12	20.2921492491	529.46	46.2924478528
203	2015-08-04	29.34	113.085602471	96.44	20.0850865016	537.01	46.2535302842
204	2015-08-03	29.27	112.340844604	94.06	20.006205455	531.9	45.5432846572
205	2015-07-31	31.01	116.059734217	94.14	19.6709610067	534.59	45.5238258729
206	2015-07-30	31.47	119.024066518	94.01	19.7399819226	536.35	45.6892255394
207	2015-07-29	31.24	119.915816069	94.95	19.6906812684	536.76	45.0373562654
208	2015-07-28	36.54	120.523381698	96.99	19.4540381285	529.0	44.113064011
209	2015-07-27	34.7	120.846763404	95.29	19.044842699	526.03	44.1617109718
210	2015-07-24	35.42	120.425387242	94.17	19.1434440073	531.41	44.7260157165
211	2015-07-23	36.19	121.983499096	96.979	19.3751570818	530.5	44.8622272066
212	2015-07-22	36.09	122.649861398	95.43	19.1335838765	482.18	44.2784636776
213	2015-07-21	36.63	122.708658072	97.03	19.5131989135	488.27	46.0005660883
214	2015-07-20	35.81	128.1277515	98.39	19.424457736	488.0	45.6503079708
215	2015-07-17	35.67	129.421278322	97.91	19.7991427075	488.1	45.338967422
216	2015-07-16	36.1	127.020414145	94.97	19.9076041467	483.01	45.3973437749
217	2015-07-15	35.66	125.932675681	90.85	19.4737583901	475.48	44.5216984814
218	2015-07-14	36.72	124.276569371	89.76	19.6118002218	461.19	44.3854869913
219	2015-07-10	34.91	123.090836451	89.68	19.4737583901	465.57	43.3872513566
220	2015-07-09	34.36	123.139833679	87.95	19.1385139419	443.51	43.3152538547
221	2015-07-08	34.76	120.807565621	85.88	19.3751570818	434.39	43.0428308745
